label,user_attribute_name,attribute_format,friendly_name,attribute_name
Postfach,legacyPostkorbHandle,uri,legacyPostkorbHandle,urn:oid:2.5.4.18
Geburtsname,birthName,uri,birthName,urn:oid:1.2.40.0.10.2.1.1.225566
Postleitzahl,zipCode,uri,postalCode,urn:oid:2.5.4.17
Version,apiVersion,uri,Version,urn:oid:1.3.6.1.4.1.25484.494450.1
eIDAS-Issuing-Country,eIDASIssuingCountry,uri,eIDASIssuingCountry,urn:oid:1.3.6.1.4.1.25484.494450.10.1
Anrede,salutation,uri,gender,urn:oid:1.3.6.1.4.1.33592.1.3.5
bPK2,bPK2,uri,bPK2,urn:oid:1.3.6.1.4.1.25484.494450.3
Dokumententyp,documentType,uri,documentType,urn:oid:1.2.40.0.10.2.1.1.552255
Antrags-ID,applicationId,uri,applicationId,urn:oid:1.3.6.1.4.1.25484.494450.4
Straße und Hausnummer,streetAndBuilding,uri,postalAddress,urn:oid:2.5.4.16
E-Mail-Adresse,email,uri,mail,urn:oid:0.9.2342.19200300.100.1.3
Vertrauensniveau,trustLevelAuthentication,uri,EID-CITIZEN-QAA-LEVEL,urn:oid:1.2.40.0.10.2.1.1.261.94
Wohnort-ID,communityId,uri,communityId,urn:oid:1.3.6.1.4.1.25484.494450.5
Pseudonym,pseudonym,uri,pseudonym,urn:oid:1.2.40.0.10.2.1.1.226699
Geburtsdatum,dateOfBirth,uri,birthdate,urn:oid:1.2.40.0.10.2.1.1.55
Ort,city,uri,localityName,urn:oid:2.5.4.7
Nachname,lastName,uri,surname,urn:oid:2.5.4.4
AssertionProvedBy,assertionProvedBy,uri,AssertionProvedBy,urn:oid:1.3.6.1.4.1.25484.494450.2
Akademischer Titel,title,uri,personalTitle,urn:oid:0.9.2342.19200300.100.1.40
Telefonnummer,telephone,uri,telephoneNumber,urn:oid:2.5.4.20
Land,country,uri,country,urn:oid:1.2.40.0.10.2.1.1.225599
Vorname(n),firstName,uri,givenName,urn:oid:2.5.4.42
Geburtsort,placeOfBirth,uri,placeOfBirth,urn:oid:1.3.6.1.5.5.7.9.2
Staatsangehörigkeit,nationality,uri,nationality,urn:oid:1.2.40.0.10.2.1.1.225577
